time,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2020-01-17 01:01:11,10233,solr,20,0,79796633,24431820,423896,S,29.4,18.5,371:04.28,java
2020-01-17 01:02:12,10233,solr,20,0,79796633,24431820,426360,S,31.2,18.5,371:29.44,java
2020-01-17 01:03:12,10233,solr,20,0,79796633,24851251,854300,S,41.2,18.9,371:52.70,java
2020-01-17 01:04:13,10233,solr,20,0,79796633,25165824,1153433,S,37.5,19.1,372:38.37,java
2020-01-17 01:05:14,10233,solr,20,0,79901491,25165824,1153433,S,117.6,19.1,373:15.03,java
2020-01-17 01:06:14,10233,solr,20,0,80006348,25375539,1363148,S,29.4,19.2,374:02.62,java
2020-01-17 01:07:15,10233,solr,20,0,80006348,25270681,1363148,S,31.2,19.2,374:27.95,java
2020-01-17 01:08:16,10233,solr,20,0,80320921,25480396,1468006,S,29.4,19.3,374:55.26,java
2020-01-17 01:09:16,10233,solr,20,0,80111206,25375539,1363148,S,58.8,19.3,375:25.97,java
2020-01-17 01:10:17,10233,solr,20,0,80216064,25375539,1363148,S,64.7,19.3,375:58.80,java
2020-01-17 01:11:17,10233,solr,20,0,80111206,24431820,446516,S,29.4,18.5,376:23.29,java
2020-01-17 01:12:18,10233,solr,20,0,80111206,24431820,449708,S,29.4,18.5,376:47.75,java
2020-01-17 01:13:19,10233,solr,20,0,80216064,24431820,451540,S,87.5,18.6,377:17.28,java
2020-01-17 01:14:19,10233,solr,20,0,80216064,24431820,457080,S,31.2,18.6,377:39.84,java
2020-01-17 01:15:20,10233,solr,20,0,80216064,24431820,454740,S,25.0,18.6,378:00.91,java
2020-01-17 01:16:20,10233,solr,20,0,80216064,24431820,456016,S,29.4,18.6,378:27.86,java
2020-01-17 01:17:21,10233,solr,20,0,80320921,24431820,459480,S,18.8,18.6,378:51.62,java
2020-01-17 01:18:22,10233,solr,20,0,80320921,24431820,461672,S,25.0,18.6,379:15.04,java
2020-01-17 01:19:22,10233,solr,20,0,80320921,24431820,463800,S,23.5,18.6,379:37.37,java
